Entity,Code,Year,emissions_total_per_capita
China,CHN,1920,0.08693245
China,CHN,1921,0.083120845
China,CHN,1922,0.08528475
China,CHN,1923,0.09890104
China,CHN,1924,0.103484906
China,CHN,1925,0.09701566
China,CHN,1926,0.09184579
China,CHN,1927,0.09602494
China,CHN,1928,0.09940985
China,CHN,1929,0.10044768
China,CHN,1930,0.102641396
China,CHN,1931,0.10696789
China,CHN,1932,0.10303524
China,CHN,1933,0.110256605
China,CHN,1934,0.12636147
China,CHN,1935,0.1462837
China,CHN,1936,0.15108936
China,CHN,1937,0.141227
China,CHN,1938,0.12139731
China,CHN,1939,0.14638789
China,CHN,1940,0.17756674
China,CHN,1941,0.22169025
China,CHN,1942,0.24687532
China,CHN,1943,0.20974888
China,CHN,1944,0.19717897
China,CHN,1945,0.1064322
China,CHN,1946,0.06839545
China,CHN,1947,0.078831576
China,CHN,1948,0.07197712
China,CHN,1949,0.11541034
China,CHN,1950,0.14490603
China,CHN,1951,0.18440396
China,CHN,1952,0.22650127
China,CHN,1953,0.23164201
China,CHN,1954,0.2726271
China,CHN,1955,0.3156697
China,CHN,1956,0.35005215
China,CHN,1957,0.40578437
China,CHN,1958,0.8143566
China,CHN,1959,1.1033454
China,CHN,1960,1.2199273
China,CHN,1961,0.87018025
China,CHN,1962,0.69108945
China,CHN,1963,0.6672778
China,CHN,1964,0.65358335
China,CHN,1965,0.6915715
China,CHN,1966,0.74011993
China,CHN,1967,0.6047536
China,CHN,1968,0.63445187
China,CHN,1969,0.75759107
China,CHN,1970,0.9813614
China,CHN,1971,1.0771737
China,CHN,1972,1.1215245
China,CHN,1973,1.1424145
China,CHN,1974,1.1419026
China,CHN,1975,1.2914877
China,CHN,1976,1.3181169
China,CHN,1977,1.420932
China,CHN,1978,1.5609471
China,CHN,1979,1.5737503
China,CHN,1980,1.5198873
China,CHN,1981,1.479652
China,CHN,1982,1.5847058
China,CHN,1983,1.6459085
China,CHN,1984,1.7667418
China,CHN,1985,1.8844863
China,CHN,1986,1.9526218
China,CHN,1987,2.0585601
China,CHN,1988,2.1739132
China,CHN,1989,2.1712253
China,CHN,1990,2.1528878
China,CHN,1991,2.2370765
China,CHN,1992,2.3057148
China,CHN,1993,2.4340296
China,CHN,1994,2.559043
China,CHN,1995,2.7465813
China,CHN,1996,2.8427844
China,CHN,1997,2.8299394
China,CHN,1998,2.6824508
China,CHN,1999,2.817025
China,CHN,2000,2.8700879
China,CHN,2001,2.912365
China,CHN,2002,3.184619
China,CHN,2003,3.7351773
China,CHN,2004,4.001966
China,CHN,2005,4.4899764
China,CHN,2006,4.921031
China,CHN,2007,5.2606664
China,CHN,2008,5.6172485
China,CHN,2009,5.8706574
China,CHN,2010,6.370445
China,CHN,2011,6.998823
China,CHN,2012,7.131918
China,CHN,2013,7.2097993
China,CHN,2014,7.187588
China,CHN,2015,7.0609546
China,CHN,2016,6.9428844
China,CHN,2017,7.080384
China,CHN,2018,7.2915606
China,CHN,2019,7.5260706
China,CHN,2020,7.64075
China,CHN,2021,7.910899
China,CHN,2022,8.217776
China,CHN,2023,8.556261
China,CHN,2024,8.65839
India,IND,1920,0.115977466
India,IND,1921,0.1239727
India,IND,1922,0.12101775
India,IND,1923,0.12333176
India,IND,1924,0.13069753
India,IND,1925,0.12771833
India,IND,1926,0.12604858
India,IND,1927,0.13091141
India,IND,1928,0.124054424
India,IND,1929,0.12776801
India,IND,1930,0.12841757
India,IND,1931,0.116237566
India,IND,1932,0.106686965
India,IND,1933,0.10327977
India,IND,1934,0.11374695
India,IND,1935,0.11721672
India,IND,1936,0.11361255
India,IND,1937,0.12410688
India,IND,1938,0.13681275
India,IND,1939,0.1326354
India,IND,1940,0.1399502
India,IND,1941,0.14319538
